name	original_dims	original_bytes	screen_dims	screen_bytes
wpt-profile.webp	1189x1323	1775912	1189x1323	66680
wpt-banner.webp	1916x821	1715863	1400x600	75844
wpt-top-content.webp	720x1006	267566	720x1006	89336
dia-tv-logo.svg	425x135	1908	425x135	1908
cj-enm-logo.svg	1784x856	4525	1784x856	4525
fifa22-wpt-hero.webp	1920x1080	1836416	1400x788	37852
fifa22-comments.webp	438x300	19579	438x300	7818
fifa22-gameplay.webp	438x236	108345	438x236	71514
fifa22-son.webp	932x517	526695	932x517	315030
fifa22-hypermotion.webp	443x245	62888	443x245	37130
fifa22-ultimate-team.webp	441x244	129461	441x244	89780
nyang-profile.webp	1170x713	116783	1170x713	29906
nyang-winter-cats.webp	1170x2080	332831	1170x2080	67952
nyang-kimchi-box.webp	1168x2083	388713	1168x2083	80958
nyang-cat-lawsuit.webp	1170x2082	440516	1170x2082	106470
nyang-window.webp	1170x2096	671954	1170x2096	185766
nyang-sunbath.webp	1170x2129	473044	1170x2129	105730
nyang-cat-cost.webp	1170x2127	503297	1170x2127	118302
nyang-naming.webp	1170x2123	468673	1170x2123	105248
nyang-condition.webp	1170x2126	434519	1170x2126	101230
bak-profile.webp	1170x416	58000	1170x416	14840
bak-weight-loss.webp	1149x336	83892	1149x336	22200
bak-rock-bottom.webp	1167x308	49920	1167x308	12870
bak-potato.webp	1170x313	118875	1170x313	39622
bukjeok-org.webp	1170x1243	109734	1170x1243	20378
lakehill-profile.webp	438x340	94138	438x340	48224
kinglab73-profile.webp	439x325	80012	439x325	39950
kanana-meetup.webp	1170x786	179428	1170x786	35508
kanana-card.webp	874x1220	108274	874x1220	23838
